Message,Actual Label,Predicted Label
funny fact nobody teach volcano 2 erupt tsunamis 2 arise hurricane 2 sway aroundn 1 teach hw 2 choose wife natural disaster happen,0,0
send score sophas secondary application school think think apply research cost also contact joke ogunrinde school one less expensive one,0,0
know someone know fancy call 09058097218 find pobox 6 ls15hb 150p,1,1
promise get soon will text morning let know make ok,0,0
congratulation ur award either 500 cd gift voucher free entry 2 100 weekly draw txt music 87066 tnc wwwldewcom1win150ppmx3age16,1,1
will text carlos let know hang,0,0
ki did't see youkwhere,0,0
messageno responcewhat happend,0,0
get gandhipuram walk cross cut road right side ltgt street road turn first right,0,0
flippin shit yet,0,0
real tho suck can not even cook whole electricity ' m hungry,0,0
free tone hope enjoy new content text stop 61610 unsubscribe help08712400602450p provide tones2youcouk,1,1
' m wif buy tix lar,0,0
call u finish come n pick u,0,0
dear chechi talk,0,0
be want come online,0,0
somewhere fredericksburg,0,0
urgent mobile award 1500 bonus caller prize 27603 final attempt 2 contact u call 08714714011,1,1
come,0,0
k u bore come home,0,0
call 1010 make sure dat ' ve wake,0,0
boy love u grl hogolo boy gold chain kodstini grl agalla boy necklace madstini grl agalla boy hogli 1 mutai eerulli kodthini grl love u kano,0,0
bloo bloo bloo will miss first bowl,0,0
yeah sure give couple minute track wallet,0,0
2nd time try 2 contact u u 750 pound prize 2 claim easy call 087187272008 now1 10p per minute btnationalrate,1,1
cancel yeah baby well sound important understand darlin give ring later fone love kate x,0,0
still look job much ta 's earn,0,0
gud gudk chikku tke care sleep well gud nyt,0,0
will reach ard 20 min ok,0,0
wat,0,0
do internet connection v slow can not send try later first thing tomo,0,0
yup izzit still rain heavily cos ' m e mrt can not c outside,0,0
hi ' m sue 20 year old work lapdancer love sex text live ' m bedroom text sue 89555 textoperator g2 1da 150ppmsg 18,1,1
pls send company name saibaba colany,0,0
can not speak bcaz mobile problem listen not listen voice call later,0,0
yes think office lap room think that s last day do not shut,0,0
yeah 's jus rite,0,0
hey mate speak mag people deliver end month deliver 24th sept talk later,0,0
know mood today,0,0
alrite jod how s revision goin keris bin doin smidgin n e way u wan na cum collegexx,0,0
see know give break time woul lead always want miss curfew go to gibe ' til one midnight movie go to get til 2 need come home need getsleep anything need b studdying ear training,0,0
lol know see dollar store,0,0
try call reply sm video mobile 750 min unlimited text free camcorder reply call 08000930705 del thur,1,1
hey galsu wan na meet 4 dinner nte,0,0
aft finish lunch go str lor ard 3 smth lor u finish ur lunch already,0,0
can not u try new invention flyi ' m joke,0,0
would good will phone tomo lunchtime shall organise something,0,0
lol would awesome payback,0,0
would like would not jerk,0,0
yeah be barely enough room two us x many fucking shoe sorry man see later,0,0
hmv bonus special 500 pound genuine hmv voucher answer 4 easy question play send hmv 86688 infowww100percentrealcom,1,1
remain bro amongst bros,0,0
want new nokia 3510i colour phone deliveredtomorrow 300 free minute mobile 100 free text free camcorder reply call 08000930705,1,1
be car hour half ' m go apeshit,0,0
cool text head,0,0
's say 's bad dat e gal know u wat u,0,0
know girl always safe selfish know get pa thank good night,0,0
ok finish soon,0,0
life alle moneeppolum oru pole allalo,0,0
let want house 8 am,0,0
daddy take good care,0,0
buy space invader 4 chance 2 win orig arcade game console press 0 game arcade std wap charge see o2coukgame 4 term setting purchase,1,1
ever easy,0,0
like love arrange,0,0
hi darlin hope nice night wish come can not wait see love fran ps want dirty anal sex want 10 man gang bang,0,0
goodmorning today late ltgt min,0,0
per request ' maangalyam alaipayuthe ' set callertune caller press 9 copy friend callertune,0,0
wish u feel alone,0,0
awesome question cute answer someone ask boy ur life smile amp answer fine gudnite,0,0
ur hmv quiz cashbalance currently 500 maximize ur cashin send hmv1 86688 150pmsg,1,1
wat 's da decision,0,0
kkadvance happy pongal,0,0
unless 's situation go gurl would appropriate,0,0
honeybee say ' m sweetest world god laugh amp say waitu havnt meet person read msg moral even god crack joke gmgngegn,0,0
that s alrite girl u know gail neva wrongtake care sweet do not worryc u l8tr hunlove yaxxx,0,0
winner value network customer select receivea 900 prize reward claim call 09061701461 claim code kl341 valid 12 hour,1,1
